misspell,update,towns,county,state,code
anson,anson,anson,anson,nc,countyname
anson ville,ansonville,Ansonville,anson,nc,townoutside
burns ville,burnsville,Burnsville,anson,nc,townoutside
cedar hill,cedarhill,Cedar Hill,anson,nc,townoutside
fountain hill,fountainhill,Fountain Hill,anson,nc,townoutside
liles ville,lilesville,Lilesville,anson,nc,townoutside
lowry,lowrys,Lowrys,anson,nc,townoutside
mc farlan,mcfarlan,McFarlan,anson,nc,townoutside
morven,morven,Morven,anson,nc,townoutside
peach land,peachland,Peachland,anson,nc,townoutside
pee dee,peedee,Pee Dee,anson,nc,townoutside
polk ton,polkton,Polkton,anson,nc,townoutside
wadeboro,wadesboro,Wadesboro,anson,nc,townoutside
cabarrus,cabarrus,cabarrus,cabarrus,nc,countyname
concord,concord,Concord,cabarrus,nc,townoutside
moss creek,mosscreek,Concord,cabarrus,nc,neighborhoodname
north concord,northconcord,Concord,cabarrus,nc,neighborhoodname
west concord,westconcord,Concord,cabarrus,nc,neighborhoodname
wilmar park,wilmarpark,Concord,cabarrus,nc,neighborhoodname
harrisburg,harrisburg,Harrisburg,cabarrus,nc,townoutside
rocky river,rockyriver,Harrisburg,cabarrus,nc,townoutside
kannapolis,kannapolis,Kannapolis,cabarrus,nc,townoutside
center view,centerview,Kannapolis,cabarrus,nc,neighborhoodname
glass,glass,Kannapolis,cabarrus,nc,neighborhoodname
royal oaks,royaloaks,Kannapolis,cabarrus,nc,neighborhoodname
shady brook,shadybrook,Kannapolis,cabarrus,nc,neighborhoodname
west brook,westbrook,Kannapolis,cabarrus,nc,neighborhoodname
mid land,midland,Midland,cabarrus,nc,townoutside
mount pleasant,mountpleasant,Mount Pleasant,cabarrus,nc,townoutside
gaston,gaston,gaston,gaston,nc,countyname
alexis,alexis,Alexis,gaston,nc,townoutside
ashebrook park,ashebrookpark,Ashebrook Park,gaston,nc,townoutside
belmont,belmont,Belmont,gaston,nc,townoutside
bessemer city,bessemercity,Bessemer City,gaston,nc,townoutside
cherry ville,cherryville,Cherryville,gaston,nc,townoutside
cramerton,cramerton,Cramerton,gaston,nc,townoutside
west cramerton,westcramerton,Cramerton,gaston,nc,townoutside
crowder,crowders,Crowders,gaston,nc,townoutside
dallas,dallas,Dallas,gaston,nc,townoutside
dell view,dellview,Dellview,gaston,nc,townoutside
gastonia,gastonia,Gastonia,gaston,nc,townoutside
applecreek village,applecreekvillage,Gastonia,gaston,nc,neighborhoodname
barkers ridge,barkersridge,Gastonia,gaston,nc,neighborhoodname
bethesada oaks,bethesdaoaks,Gastonia,gaston,nc,neighborhoodname
brentwood chase,brentwoodchase,Gastonia,gaston,nc,neighborhoodname
brook haven,brookhaven,Gastonia,gaston,nc,neighborhoodname
catawba hills,catawbahills,Gastonia,gaston,nc,neighborhoodname
cramer woods,cramerwoods,Gastonia,gaston,nc,neighborhoodname
crowders view,crowdersview,Gastonia,gaston,nc,neighborhoodname
eagles walk,eagleswalk,Gastonia,gaston,nc,neighborhoodname
erskine woods,erskinewoods,Gastonia,gaston,nc,neighborhoodname
fawn brook,fawnbrook,Gastonia,gaston,nc,neighborhoodname
forestview heights,forestviewheights,Gastonia,gaston,nc,neighborhoodname
groves,groves,Gastonia,gaston,nc,neighborhoodname
howediary tnd,howediarytnd,Gastonia,gaston,nc,neighborhoodname
hudson holdings,hudsonholdings,Gastonia,gaston,nc,neighborhoodname
kin mere,kinmere,Gastonia,gaston,nc,neighborhoodname
laurel commons,laurelcommons,Gastonia,gaston,nc,neighborhoodname
long creek meadows,longcreekmeadows,Gastonia,gaston,nc,neighborhoodname
loray mill,loraymill,Gastonia,gaston,nc,neighborhoodname
loray mills,loraymill,Gastonia,gaston,nc,neighborhoodname
maple leaf,mapleleaf,Gastonia,gaston,nc,neighborhoodname
mountain brook,mountainbrook,Gastonia,gaston,nc,neighborhoodname
