misspell,update
anson,countyname
ansonville,townoutside
burnsville,townoutside
cedarhill,townoutside
fountainhill,townoutside
lilesville,townoutside
lowrys,townoutside
mcfarlan,townoutside
morven,townoutside
peachland,townoutside
peedee,townoutside
polkton,townoutside
wadesboro,townoutside
cabarrus,countyname
concord,townoutside
mosscreek,neighborhoodname
northconcord,neighborhoodname
westconcord,neighborhoodname
wilmarpark,neighborhoodname
harrisburg,townoutside
kannapolis,townoutside
centerview,neighborhoodname
glass,neighborhoodname
royaloaks,neighborhoodname
shadybrook,neighborhoodname
westbrook,neighborhoodname
midland,townoutside
mountpleasant,townoutside
gaston,countyname
alexis,townoutside
ashebrookpark,townoutside
belmont,townoutside
bessemercity,townoutside
cherryville,townoutside
cramerton,townoutside
westcramerton,townoutside
crowders,townoutside
dallas,townoutside
dellview,townoutside
gastonia,townoutside
applecreekvillage,neighborhoodname
barkersridge,neighborhoodname
bethesdaoaks,neighborhoodname
brentwoodchase,neighborhoodname
brookhaven,neighborhoodname
catawbahills,neighborhoodname
cramerwoods,neighborhoodname
crowdersview,neighborhoodname
eagleswalk,neighborhoodname
erskinewoods,neighborhoodname
fawnbrook,neighborhoodname
forestviewheights,neighborhoodname
groves,neighborhoodname
howediarytnd,neighborhoodname
hudsonholdings,neighborhoodname
kinmere,neighborhoodname
laurelcommons,neighborhoodname
longcreekmeadows,neighborhoodname
loraymill,neighborhoodname
loraymill,neighborhoodname
mapleleaf,neighborhoodname
mountainbrook,neighborhoodname
oaklandpark,neighborhoodname
pinnacle,neighborhoodname
presley,neighborhoodname
redbudcommons,neighborhoodname
robinsonoaks,neighborhoodname
robinwoodvillage,neighborhoodname
rosegate,neighborhoodname
smyre,neighborhoodname
spencermountainvillage,neighborhoodname
springhaven,neighborhoodname
stagecoachstation,neighborhoodname
sundancevillage,neighborhoodname
villageatfifth,neighborhoodname
villageatparkside,neighborhoodname
villageatmountain,neighborhoodname
vinales,neighborhoodname
wesleypark,neighborhoodname
westgastonia,neighborhoodname
windsorwoods,neighborhoodname
hardins,townoutside
highshoals,townoutside
lowell,townoutside
lucia,townoutside
mcadenville,townoutside
mountholly,townoutside
mountholly,townoutside
catawbaheights,neighborhoodname
ranlo,townoutside
southgastonia,townoutside
stanley,townoutside
tryon,townoutside
whitepines,townoutside
amityhill,townoutside
iredell,countyname
bellscrossroads,townoutside
coolsprings,townoutside
eaglemills,townoutside
eastmonbo,townoutside
