"","GEOID","NAME.x","total_pop.2010","total_HU.2010","total_vacant.2010","med_HH_Income.2010","total_White.2010","total_GradDeg.2010","vacancyPct.2010","pctWhite.2010","NAME.y","total_pop.2016","total_HU.2016","total_vacant.2016","med_HH_Income.2016","total_White.2016","total_GradDeg.2016","vacancyPct.2016","pctWhite.2016","change_med_HH_Income","change_Grad_Degree_Pct","pointBreeze"
"1","42101000100","Census Tract 1, Philadelphia County, Pennsylvania",2883,2455,422,73041,2660,918,0.171894093686354,0.922650017343045,"Census Tract 1, Philadelphia County, Pennsylvania",3983,2624,319,103772,3020,1094,0.12157012195122,0.75822244539292,23375.7713,-0.0437509780772236,"REST OF PHILADELPHIA"
"2","42101000200","Census Tract 2, Philadelphia County, Pennsylvania",1886,1128,123,43218,358,254,0.109042553191489,0.189819724284199,"Census Tract 2, Philadelphia County, Pennsylvania",2357,1079,129,50455,825,455,0.119555143651529,0.350021213406873,2884.9474,0.0583654383886629,"REST OF PHILADELPHIA"
"3","42101000300","Census Tract 3, Philadelphia County, Pennsylvania",2915,2038,206,65577,2968,1107,0.10107948969578,1.01818181818182,"Census Tract 3, Philadelphia County, Pennsylvania",3315,1925,160,93036,2740,1075,0.0831168831168831,0.826546003016591,20855.3961,-0.0554763032010535,"REST OF PHILADELPHIA"
"4","42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania",1525,1531,362,21832,876,323,0.236446766819073,0.574426229508197,"Census Tract 4.01, Philadelphia County, Pennsylvania",2633,1969,299,57604,1605,847,0.151853732859319,0.609570831750855,33573.5176,0.109883010715197,"REST OF PHILADELPHIA"
"5","42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania",3156,2534,239,50020,2762,1048,0.0943172849250197,0.875158428390368,"Census Tract 4.02, Philadelphia County, Pennsylvania",3202,2880,500,70038,2721,1147,0.173611111111111,0.849781386633354,14980.986,0.0261477102793011,"REST OF PHILADELPHIA"
"6","42101000500","Census Tract 5, Philadelphia County, Pennsylvania",948,750,114,45357,849,321,0.152,0.895569620253165,"Census Tract 5, Philadelphia County, Pennsylvania",1305,942,68,40568,1126,409,0.0721868365180467,0.862835249042146,-9356.4499,-0.0251976332508851,"REST OF PHILADELPHIA"
"7","42101000600","Census Tract 6, Philadelphia County, Pennsylvania",938,713,60,53938,863,426,0.0841514726507714,0.920042643923241,"Census Tract 6, Philadelphia County, Pennsylvania",1021,757,81,71250,991,548,0.107001321003963,0.970617042115573,11880.4434,0.0825709148395423,"REST OF PHILADELPHIA"
"8","42101000700","Census Tract 7, Philadelphia County, Pennsylvania",2538,2284,341,38750,1981,699,0.149299474605954,0.78053585500394,"Census Tract 7, Philadelphia County, Pennsylvania",3238,2729,452,51279,2138,1333,0.165628435324295,0.660284126003706,8626.875,0.136260161177039,"REST OF PHILADELPHIA"
"9","42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania",1510,1083,67,79000,1188,496,0.061865189289012,0.786754966887417,"Census Tract 8.01, Philadelphia County, Pennsylvania",1588,1016,109,91453,1223,743,0.107283464566929,0.770151133501259,4497.7,0.139407309790315,"REST OF PHILADELPHIA"
"10","42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania",3701,3002,433,59135,3107,1876,0.144237175216522,0.839502837071062,"Census Tract 8.03, Philadelphia County, Pennsylvania",3563,2657,363,60915,3015,1445,0.136620248400452,0.84619702497895,-4174.8945,-0.10133291493079,"REST OF PHILADELPHIA"
