Time_On_FB,Age,Area_Income,Daily_Internet_Usage,Fashion_FB_Group,Male,Country,Timestamp,clickNumeric,click
54.6,35,61833.9,216.78,Yes,Female,Tunisia,3/27/2016 0:53,0,NO_CLICK
44.6,31,68441.85,249.78,Yes,User_Identified,Nauru,4/4/2016 1:39,0,NO_CLICK
69.47,26,59785.94,236.5,Yes,Female,San Marino,3/13/2016 20:35,0,NO_CLICK
44.6,29,54806.18,191.78,Yes,Male,Italy,1/10/2016 2:31,0,NO_CLICK
56.6,53,73889.99,225.58,Yes,Female,Iceland,6/3/2016 3:36,0,NO_CLICK
59.99,55,59761.56,226.74,Yes,Male,Norway,5/19/2016 14:30,0,NO_CLICK
64.6,24,53852.85,122.78,Yes,Female,Myanmar,1/28/2016 20:59,0,NO_CLICK
87.6,48,24593.33,166.78,Yes,Male,Australia,3/7/2016 1:40,0,NO_CLICK
60.6,30,68862,181.78,Yes,Male,Grenada,4/18/2016 9:33,0,NO_CLICK
69.88,21,55642.32,183.82,Yes,Male,Ghana,7/11/2016 1:42,0,NO_CLICK
47.64,36,45632.51,171.78,Yes,Female,Qatar,3/16/2016 20:19,1,CLICK
87.6,37,62491.01,159.78,Yes,Male,Burundi,5/8/2016 8:10,0,NO_CLICK
39.6,48,51636.92,247.78,Yes,Male,Egypt,6/3/2016 1:14,1,CLICK
40.6,51,51739.63,214.23,Yes,Female,Bosnia and Herzegovina,4/20/2016 21:49,0,NO_CLICK
46.6,33,30976,181.78,Yes,Female,Barbados,3/24/2016 9:31,0,NO_CLICK
37.6,23,52182.23,170.78,Yes,Male,Spain,3/9/2016 3:41,1,CLICK
55.39,45,23936.86,129.41,Yes,Female,Palestinian Territory,1/30/2016 19:20,1,CLICK
82.03,41,71511.08,212.78,Yes,Female,Afghanistan,5/2/2016 7:00,0,NO_CLICK
48.6,36,31087.54,118.39,Yes,Male,British Indian Ocean Territory (Chagos Archipelago),2/13/2016 7:53,1,CLICK
74.58,44,23821.72,238.78,Yes,Male,Russian Federation,2/27/2016 4:43,1,CLICK
77.22,45,64802.33,195.78,Yes,Male,Cameroon,1/5/2016 7:52,0,NO_CLICK
84.59,27,60015.57,260.78,Yes,Male,Cameroon,3/18/2016 13:22,0,NO_CLICK
60.6,52,32635.7,164.83,Yes,Female,Burundi,5/20/2016 8:49,1,CLICK
87.29,36,61628.72,130.78,Yes,User_Identified,Korea,3/23/2016 9:43,0,NO_CLICK
48.6,41,68962.32,167.22,Yes,Female,Tokelau,6/13/2016 17:27,1,CLICK
33.6,28,64828,192.78,Yes,Male,Monaco,5/27/2016 15:25,0,NO_CLICK
48.53,31,38067.08,117.78,Yes,Male,Tuvalu,2/8/2016 10:46,1,CLICK
51.95,52,58295.82,113.78,Yes,User_Identified,Greece,7/19/2016 8:32,1,CLICK
70.2,34,32708.94,119.2,Yes,Female,British Virgin Islands,4/14/2016 5:08,1,CLICK
76.02,22,46179.97,130.78,Yes,Female,Bouvet Island (Bouvetoya),1/27/2016 12:38,0,NO_CLICK
67.64,35,51473.28,230.78,Yes,Male,Peru,7/2/2016 20:23,0,NO_CLICK
86.41,28,45593.93,207.48,Yes,Male,Aruba,3/1/2016 22:13,0,NO_CLICK
43.6,57,25583.29,238.78,Yes,Male,Maldives,7/15/2016 5:05,1,CLICK
55.6,55,30227.98,153.78,Yes,Female,Senegal,1/14/2016 14:00,1,CLICK
37.6,41,45580.92,165.78,Yes,Male,Dominica,3/15/2016 3:12,1,CLICK
64.6,36,61389.5,224.78,Yes,Female,Luxembourg,4/12/2016 3:26,0,NO_CLICK
51.6,53,56770.79,205.78,Yes,Male,Montenegro,4/7/2016 15:18,1,CLICK
41.6,29,76435.3,143.78,Yes,Female,Ukraine,2/9/2016 5:28,0,NO_CLICK
53.6,23,57425.87,119.32,Yes,Male,Saint Helena,5/7/2016 17:11,0,NO_CLICK
51.6,39,27508.41,231.78,Yes,Female,Liberia,3/11/2016 6:49,1,CLICK
55.6,29,57691.95,202.61,Yes,Female,Russian Federation,4/27/2016 9:27,0,NO_CLICK
37.6,30,59784.18,252.36,Yes,Female,Tunisia,4/16/2016 11:53,0,NO_CLICK
56.6,32,66572.39,198.11,Yes,Male,Turkmenistan,5/8/2016 15:38,0,NO_CLICK
81.38,23,64929.61,212.3,Yes,Female,Saint Helena,2/8/2016 0:23,0,NO_CLICK
79.6,25,57519.64,150.78,Yes,Female,Niger,2/11/2016 13:26,0,NO_CLICK
41.6,52,53575.48,152.78,Yes,Male,Turkmenistan,2/17/2016 13:16,1,CLICK
79.6,20,50983.75,202.25,Yes,Male,Qatar,2/26/2016 22:46,0,NO_CLICK
53.6,33,67058.72,170.78,Yes,Female,Sri Lanka,6/8/2016 18:54,0,NO_CLICK
35.6,29,52723.34,123.72,Yes,Male,Trinidad and Tobago,1/8/2016 9:32,1,CLICK
55.6,46,54286.1,122.78,Yes,Female,Italy,4/25/2016 11:01,1,CLICK
73.18,23,61526.25,125.78,Yes,Male,British Virgin Islands,4/4/2016 7:07,0,NO_CLICK
70.6,28,58526.04,253.78,Yes,Female,United Kingdom,5/3/2016 21:19,0,NO_CLICK
50.6,45,53350.11,193.58,Yes,Male,Guinea-Bissau,1/17/2016 9:31,1,CLICK
54.6,50,62657.53,133.2,Yes,Male,Micronesia,3/2/2016 4:57,1,CLICK
62.31,47,62722.57,119.3,Yes,Female,Turkey,2/14/2016 7:36,1,CLICK
71.6,44,67479.62,177.55,Yes,Female,Croatia,4/7/2016 3:56,0,NO_CLICK
70.6,36,75254.88,182.78,Yes,Female,Israel,2/17/2016 11:42,1,CLICK
40.6,49,52336.64,252.78,Yes,Female,Svalbard & Jan Mayen Islands,4/10/2016 0:13,1,CLICK
61.6,29,56113.37,239.22,Yes,Female,Azerbaijan,2/14/2016 17:05,0,NO_CLICK
87.6,41,24852.9,183.78,Yes,User_Identified,Iran,5/26/2016 22:49,1,CLICK
90.6,26,47708.42,138.78,Yes,User_Identified,Burundi,4/30/2016 8:07,0,NO_CLICK
32.6,34,64654.66,174.78,Yes,Male,Saint Vincent and the Grenadines,6/15/2016 5:30,0,NO_CLICK
56.6,21,71228.44,169.5,Yes,Female,Burundi,3/9/2016 14:45,1,CLICK
58.6,32,61601.05,178.92,Yes,Male,Bulgaria,3/31/2016 20:55,0,NO_CLICK
57.6,45,66281.46,141.22,Yes,User_Identified,Christmas Island,6/3/2016 0:55,1,CLICK
39.6,29,73910.9,193.78,Yes,Male,Canada,3/10/2016 23:36,0,NO_CLICK
35.6,40,51317.33,212.78,Yes,User_Identified,Rwanda,1/8/2016 0:17,1,CLICK
56.6,31,51510.18,222.78,Yes,Female,Turks and Caicos Islands,6/5/2016 22:11,1,CLICK
69.6,25,61005.87,180.78,Yes,Male,Tunisia,1/16/2016 11:35,0,NO_CLICK
82.6,34,32536.98,134.78,Yes,Female,Norfolk Island,4/22/2016 20:10,1,CLICK
46.13,25,60248.97,223.78,Yes,Female,Bouvet Island (Bouvetoya),2/1/2016 9:00,1,CLICK
35.6,46,74543.81,222.63,Yes,Female,Turks and Caicos Islands,7/7/2016 13:37,0,NO_CLICK
55.35,39,75509.61,153.17,Yes,Male,Cook Islands,3/8/2016 0:37,1,CLICK
32.6,30,42650.32,167.07,Yes,Male,Turkey,5/10/2016 17:39,0,NO_CLICK
38.46,29,58183.04,114.78,Yes,User_Identified,Guatemala,4/6/2016 11:24,1,CLICK
43.6,22,60465.72,135.78,Yes,Female,Cote d'Ivoire,4/1/2016 16:21,0,NO_CLICK
87.6,57,57009.76,165.78,Yes,Male,Faroe Islands,1/5/2016 4:18,1,CLICK
79.6,27,54541.56,238.99,Yes,Male,Qatar,5/20/2016 21:31,1,CLICK
81.6,38,32689.04,113.53,Yes,User_Identified,Ireland,2/3/2016 7:59,1,CLICK
69.6,39,55605.92,111.71,Yes,Female,Ukraine,2/17/2016 21:55,1,CLICK
78.11,27,63296.87,209.25,Yes,Male,Moldova,1/30/2016 16:10,1,CLICK
46.6,28,65653.47,122.78,Yes,Male,Nicaragua,5/15/2016 14:41,0,NO_CLICK
56.64,53,61652.53,115.91,Yes,Female,Montserrat,1/5/2016 17:56,1,CLICK
69.6,51,30726.26,188.78,Yes,Female,Timor-Leste,4/19/2016 7:34,1,CLICK
43.6,20,74535.94,222.78,Yes,User_Identified,Bouvet Island (Bouvetoya),3/15/2016 15:49,0,NO_CLICK
62.6,41,47861.93,181.78,Yes,Female,Puerto Rico,6/12/2016 15:25,1,CLICK
78.6,36,73600.28,200.55,Yes,Female,Central African Republic,7/1/2016 4:41,0,NO_CLICK
46.6,34,58543.94,118.6,Yes,Male,Venezuela,5/8/2016 12:12,1,CLICK
57.7,34,42696.67,145.78,Yes,Female,Australia,3/14/2016 23:13,1,CLICK
47.6,37,37334.78,178.78,Yes,Male,Wallis and Futuna,5/25/2016 0:19,1,CLICK
69.9,43,71392.53,253.78,Yes,User_Identified,Jersey,5/13/2016 11:51,1,CLICK
55.79,46,59550.05,166.78,Yes,Female,Puerto Rico,2/20/2016 20:47,1,CLICK
70.03,26,64264.25,227.72,Yes,Male,Samoa,5/22/2016 20:49,0,NO_CLICK
84.6,40,64147.86,176.78,Yes,Male,Greece,4/10/2016 2:02,1,CLICK
43.67,24,25686.34,229.78,Yes,Male,Antarctica (the territory South of 60 deg S),2/28/2016 6:41,1,CLICK
72.84,26,52968.22,191.78,Yes,Female,Albania,7/8/2016 21:18,0,NO_CLICK
72.6,36,22473.08,251.78,Yes,Male,Hong Kong,4/19/2016 15:14,1,CLICK
39.94,41,64927.19,240.78,Yes,Female,Lithuania,1/8/2016 22:47,1,CLICK
59.6,20,51868.85,134.78,Yes,Female,Egypt,3/28/2016 8:46,1,CLICK
59.6,34,69456.83,203.78,Yes,Male,Bangladesh,7/2/2016 14:57,0,NO_CLICK
73.6,53,31947.65,155.78,Yes,Female,Western Sahara,7/3/2016 9:22,0,NO_CLICK
61.6,23,51864.77,187.78,Yes,Male,Serbia,6/1/2016 9:27,0,NO_CLICK
64.6,40,59593.56,105.78,Yes,Female,Maldives,7/9/2016 14:55,1,CLICK
81.6,38,48376.14,190.78,Yes,Male,Czech Republic,2/9/2016 22:04,0,NO_CLICK
66.6,20,56884.74,106.78,Yes,Female,Guernsey,6/10/2016 11:31,0,NO_CLICK
80.49,40,67186.54,163.78,Yes,Male,Tanzania,2/14/2016 3:50,0,NO_CLICK
81.6,25,46557.92,162.78,Yes,Male,Bhutan,7/5/2016 17:17,0,NO_CLICK
63.6,42,66541.05,150.99,Yes,Female,Christmas Island,4/28/2016 5:50,1,CLICK
47.53,30,33258.09,204.78,Yes,Female,Guinea,4/3/2016 5:10,1,CLICK
74.02,32,72272.9,196.78,Yes,Female,Micronesia,3/9/2016 14:57,0,NO_CLICK
58.6,60,60333.38,200.78,Yes,Female,Madagascar,1/16/2016 23:37,1,CLICK
63.6,23,65229.13,235.78,Yes,Male,Lebanon,7/3/2016 4:33,1,CLICK
46.6,22,56067.38,182.78,Yes,Female,Eritrea,3/14/2016 6:46,0,NO_CLICK
55.6,46,37838.72,123.64,Yes,Male,Guyana,1/9/2016 5:44,1,CLICK
69,32,72683.35,197.78,Yes,Male,Trinidad and Tobago,2/11/2016 4:37,0,NO_CLICK
82.6,31,56729.78,175.78,Yes,Male,Jersey,6/22/2016 7:33,0,NO_CLICK
86.6,55,66815.54,162.95,Yes,Female,United Arab Emirates,7/13/2016 16:12,1,CLICK
58.6,42,60223.52,177.78,Yes,Male,Martinique,7/23/2016 11:46,1,CLICK
67.6,29,29727.79,207.18,Yes,Female,Somalia,7/13/2016 4:10,1,CLICK
54.6,33,49269.98,268.78,Yes,User_Identified,Bhutan,6/11/2016 18:32,1,CLICK
86.6,31,57669.41,201.78,Yes,Male,Greece,5/8/2016 12:51,0,NO_CLICK
55.6,45,56791.75,109.78,Yes,Female,Benin,4/7/2016 16:02,0,NO_CLICK
46.6,37,63274.88,212.79,Yes,Female,Papua New Guinea,2/4/2016 13:30,0,NO_CLICK
34.6,36,35466.8,146.78,Yes,Female,Uzbekistan,2/26/2016 19:48,1,CLICK
87.6,43,68787.09,241.78,Yes,Female,South Africa,6/21/2016 13:15,1,CLICK
57.6,40,61227.59,230.93,Yes,Female,Egypt,5/17/2016 4:27,0,NO_CLICK
80.31,40,56366.88,147.78,Yes,User_Identified,Hungary,4/18/2016 15:54,1,CLICK
82.6,45,57868.44,199.78,Yes,Female,Falkland Islands (Malvinas),4/3/2016 10:07,0,NO_CLICK
57.6,30,66618.21,195.78,Yes,Female,Dominica,4/4/2016 21:30,0,NO_CLICK
67.36,37,73104.47,233.56,Yes,Female,Jersey,7/6/2016 16:00,0,NO_CLICK
83.6,40,21644.91,107.78,Yes,Female,Lithuania,5/4/2016 9:00,1,CLICK
41.67,46,53817.02,132.55,Yes,Female,Saint Martin,6/13/2016 18:50,1,CLICK
72.6,36,76368.31,153.78,Yes,Female,Cuba,1/3/2016 16:01,1,CLICK
59.6,29,67633.44,215.44,Yes,Female,United States Minor Outlying Islands,1/14/2016 0:23,0,NO_CLICK
68.6,47,50335.46,218.78,Yes,User_Identified,Belize,1/12/2016 10:07,1,CLICK
32.6,39,17709.98,222.78,Yes,Male,Belize,4/16/2016 12:09,1,CLICK
38.37,36,41229.16,140.46,Yes,Female,Antarctica (the territory South of 60 deg S),5/13/2016 6:09,1,CLICK
38.52,38,42581.23,178.78,Yes,Male,Saint Vincent and the Grenadines,3/27/2016 23:59,1,CLICK
71.6,54,61617.98,134.78,Yes,Male,Kuwait,2/3/2016 23:47,0,NO_CLICK
43.6,38,70575.6,262.78,Yes,Male,Thailand,4/18/2016 11:23,0,NO_CLICK
83.6,34,64122.36,104.78,Yes,Female,Gibraltar,2/5/2016 19:06,0,NO_CLICK
75.6,30,52097.32,140.78,Yes,Male,Holy See (Vatican City State),3/21/2016 18:46,0,NO_CLICK
33.6,44,65953.76,136.78,Yes,Male,Korea,6/14/2016 11:59,1,CLICK
89.6,53,60192.72,121.78,Yes,Male,Saint Helena,2/6/2016 23:08,0,NO_CLICK
69.08,43,77460.07,133.78,Yes,Female,Turks and Caicos Islands,3/12/2016 1:39,0,NO_CLICK
58.6,44,45716.48,192.78,Yes,Male,Czech Republic,1/26/2016 3:56,1,CLICK
57.6,35,65120.86,223.78,Yes,Male,Netherlands,2/7/2016 8:02,1,CLICK
75.6,41,49995.63,108.16,Yes,Male,Belarus,5/5/2016 7:58,0,NO_CLICK
60.6,19,71718.51,152.24,Yes,Female,Dominica,6/29/2016 2:43,1,CLICK
88.6,57,61770.34,150.29,Yes,Female,South Africa,4/10/2016 19:48,1,CLICK
44.6,25,69112.84,170.78,Yes,Male,New Zealand,2/10/2016 6:37,0,NO_CLICK
78.54,35,72524.86,172.1,Yes,Female,Togo,5/28/2016 20:41,1,CLICK
46.6,48,36782.38,175.78,Yes,Male,Kenya,3/24/2016 6:36,1,CLICK
65.4,26,66699.12,129.78,Yes,Female,Palau,2/12/2016 22:51,0,NO_CLICK
83.6,22,64287.78,256.78,Yes,Male,Timor-Leste,6/10/2016 10:11,0,NO_CLICK
88.6,38,56637.59,184.78,Yes,Male,Cambodia,3/31/2016 10:44,0,NO_CLICK
72.6,36,55787.58,122.78,Yes,Female,Belize,2/14/2016 6:51,1,CLICK
42.6,28,61142.33,202.18,Yes,Male,Cuba,1/7/2016 19:16,1,CLICK
89.6,48,61625.87,247.78,Yes,Male,Costa Rica,2/4/2016 2:13,0,NO_CLICK
51.6,26,73234.87,211.78,Yes,Female,Liechtenstein,5/9/2016 2:58,1,CLICK
76.32,35,74166.24,258.78,Yes,User_Identified,Korea,6/23/2016 0:16,0,NO_CLICK
70.6,34,62669.59,262.78,Yes,Male,Ukraine,6/20/2016 9:35,0,NO_CLICK
72.01,31,57756.89,251,Yes,Female,Angola,2/29/2016 12:31,0,NO_CLICK
76.6,51,58019.64,237.78,Yes,Female,Nauru,1/17/2016 15:10,0,NO_CLICK
47.6,50,50960.08,188.78,Yes,Female,Equatorial Guinea,1/29/2016 3:54,1,CLICK
84.6,32,48246.6,194.83,Yes,Female,Mongolia,7/14/2016 12:07,1,CLICK
66.18,55,28271.84,119.78,Yes,Female,Svalbard & Jan Mayen Islands,1/10/2016 23:14,1,CLICK
88.6,50,53767.12,149.78,Yes,Male,Timor-Leste,4/28/2016 18:34,0,NO_CLICK
69.6,42,43662.1,176.78,Yes,Male,Brazil,7/6/2016 18:36,1,CLICK
45.6,34,62238.58,170.78,Yes,Female,Chad,5/27/2016 6:19,0,NO_CLICK
68.6,52,49030.03,238.78,Yes,Male,Portugal,1/25/2016 7:39,1,CLICK
37.6,58,76003.47,129.78,Yes,User_Identified,Malawi,5/8/2016 22:47,0,NO_CLICK
61.6,52,68094.85,147.78,Yes,Female,Qatar,3/19/2016 14:23,0,NO_CLICK
74.41,26,64395.85,163.05,Yes,Female,Singapore,7/23/2016 4:37,0,NO_CLICK
40.6,57,70053.27,137.78,Yes,User_Identified,Guinea,6/23/2016 1:22,1,CLICK
71.74,35,72423.97,257.78,Yes,Female,Kazakhstan,7/19/2016 18:06,0,NO_CLICK
60.72,44,42995.8,105.69,Yes,Female,Kuwait,2/28/2016 18:52,1,CLICK
44.6,22,60309.58,199.43,Yes,Female,Rwanda,2/10/2016 6:52,0,NO_CLICK
72.6,31,38349.78,209.78,Yes,Male,China,3/27/2016 9:11,1,CLICK
75.6,34,63115.34,205.78,Yes,Female,Bouvet Island (Bouvetoya),5/23/2016 2:15,0,NO_CLICK
46.6,38,31343.39,145.96,Yes,User_Identified,Vietnam,1/3/2016 3:22,1,CLICK
84.53,27,40763.13,168.34,Yes,Female,Guatemala,1/4/2016 21:48,1,CLICK
83.6,60,36752.24,183.78,Yes,Female,Peru,5/24/2016 13:30,1,CLICK
83.6,41,65044.59,222.78,Yes,User_Identified,Mayotte,2/1/2016 19:42,0,NO_CLICK
85.56,27,53673.08,246.78,Yes,Female,Samoa,6/5/2016 13:16,0,NO_CLICK
38.6,54,43444.86,179.78,Yes,Female,Singapore,2/4/2016 8:53,1,CLICK
46.31,58,44248.52,167.78,Yes,Male,Jamaica,3/24/2016 13:37,1,CLICK
77.95,31,62572.88,233.65,Yes,Male,Bahamas,6/2/2016 21:02,0,NO_CLICK
87.6,44,39840.55,266.78,Yes,Female,Canada,2/21/2016 7:42,0,NO_CLICK
73.6,36,32593.59,165.78,Yes,Female,Algeria,6/26/2016 17:16,1,CLICK
79.6,30,41629.86,123.91,Yes,User_Identified,Fiji,1/3/2016 5:34,1,CLICK
60.23,35,43313.73,257.78,Yes,Female,Kenya,3/8/2016 18:00,1,CLICK
60.7,49,42993.48,246.78,Yes,Male,Argentina,6/19/2016 3:19,1,CLICK
68.6,53,46004.31,143.79,Yes,Male,Bouvet Island (Bouvetoya),7/21/2016 21:16,1,CLICK
89.6,33,49325.48,144.78,Yes,User_Identified,Philippines,2/12/2016 20:36,0,NO_CLICK
69.6,32,51633.34,116.53,Yes,Female,Senegal,5/17/2016 6:14,1,CLICK
44.78,45,63363.04,222.78,Yes,User_Identified,Suriname,7/9/2016 11:04,1,CLICK
78.57,36,64045.93,239.32,Yes,User_Identified,Liberia,3/27/2016 2:35,0,NO_CLICK
59.6,53,73049.3,136.78,Yes,Male,Guam,1/16/2016 8:01,0,NO_CLICK
60.6,27,66624.6,160.78,Yes,Female,United Arab Emirates,1/21/2016 23:48,0,NO_CLICK
90.6,40,77567.85,214.42,Yes,Female,Antigua and Barbuda,6/5/2016 0:29,0,NO_CLICK
80.6,29,53431.35,126.78,Yes,Male,Argentina,2/13/2016 15:37,0,NO_CLICK
81.6,40,31265.75,243.78,Yes,Male,Georgia,5/10/2016 7:22,1,CLICK
49.6,24,74780.74,184.78,Yes,Male,Jordan,3/27/2016 3:59,0,NO_CLICK
42.6,29,70410.11,145.78,Yes,Female,Saudi Arabia,5/24/2016 18:35,0,NO_CLICK
82.6,23,37345.24,121.78,Yes,Female,South Africa,2/11/2016 2:40,1,CLICK
36.6,24,66107.84,212.67,Yes,Female,Croatia,4/22/2016 8:31,0,NO_CLICK
87.6,30,62336.39,187.36,Yes,Male,Fiji,1/13/2016 2:58,0,NO_CLICK
47.6,58,39132.64,110.78,Yes,Female,Australia,6/16/2016 2:01,1,CLICK
40.15,31,38745.29,267.78,Yes,Male,Sao Tome and Principe,6/27/2016 18:37,1,CLICK
76.81,28,65172.22,194.78,Yes,Male,Fiji,7/3/2016 12:57,0,NO_CLICK
79.6,47,68519.96,163.38,Yes,Female,Cyprus,2/3/2016 4:21,1,CLICK
46.6,53,54774.77,172.78,Yes,Male,Kyrgyz Republic,5/29/2016 21:17,0,NO_CLICK
83.6,43,76246.96,155.8,Yes,Male,Pakistan,4/3/2016 21:13,1,CLICK
